"","Name","classId","MeshClass"
"829","montelukast","D020024","Leukotriene Antagonists"
"830","Fluoxetine","D017367","Serotonin Uptake Inhibitors"
"831","Fluoxetine","D018687","Antidepressive Agents, Second-Generation"
"832","Methohexital","D018686","Anesthetics, Intravenous"
"833","Chlordiazepoxide","D000759","Adjuvants, Anesthesia"
"834","Chlordiazepoxide","D006993","Hypnotics and Sedatives"
"835","Chlordiazepoxide","D014151","Anti-Anxiety Agents"
"836","Chlordiazepoxide","D018757","GABA Modulators"
"837","duloxetine","D000700","Analgesics"
"838","duloxetine","D000928","Antidepressive Agents"
"839","duloxetine","D017367","Serotonin Uptake Inhibitors"
"840","duloxetine","D018759","Adrenergic Uptake Inhibitors"
"841","duloxetine","D018765","Dopamine Uptake Inhibitors"
"842","Chlorpromazine","D000932","Antiemetics"
"843","Chlorpromazine","D014150","Antipsychotic Agents"
"844","Chlorpromazine","D018492","Dopamine Antagonists"
"845","Rimantadine","D000998","Antiviral Agents"
"846","Rimantadine","D019384","Nucleic Acid Synthesis Inhibitors"
"847","Amikacin","D000900","Anti-Bacterial Agents"
"848","lenalidomide","D007155","Immunologic Factors"
"849","lenalidomide","D020533","Angiogenesis Inhibitors"
"850","Raloxifene","D004965","Estrogen Antagonists"
"851","Raloxifene","D020845","Selective Estrogen Receptor Modulators"
"852","Raloxifene","D050071","Bone Density Conservation Agents"
"853","celecoxib","D052246","Cyclooxygenase 2 Inhibitors"
"854","Gallamine","D003473","Neuromuscular Nondepolarizing Agents"
"855","Gallamine","D018733","Nicotinic Antagonists"
"856","Gallamine","M03AC","Other quaternary ammonium compounds"
"857","brimonidine","D000959","Antihypertensive Agents"
"858","brimonidine","D058647","Adrenergic alpha-2 Receptor Agonists"
"859","Dicloxacillin","D000900","Anti-Bacterial Agents"
"860","nabilone","D000932","Antiemetics"
"861","nabilone","D014151","Anti-Anxiety Agents"
"862","Pefloxacin","D000900","Anti-Bacterial Agents"
"863","Pefloxacin","D059005","Topoisomerase II Inhibitors"
"864","Altretamine","D018906","Antineoplastic Agents, Alkylating"
"865","Sotalol","D000319","Adrenergic beta-Antagonists"
"866","Sotalol","D000889","Anti-Arrhythmia Agents"
"867","Sotalol","D013565","Sympatholytics"
"868","Buspirone","D014151","Anti-Anxiety Agents"
"869","Buspirone","D017366","Serotonin Receptor Agonists"
"870","miglitol","D004791","Enzyme Inhibitors"
"871","miglitol","D007004","Hypoglycemic Agents"
"872","Fosinopril","D000806","Angiotensin-Converting Enzyme Inhibitors"
"873","Fosinopril","D000959","Antihypertensive Agents"
"874","Cefotaxime","D000900","Anti-Bacterial Agents"
"875","entacapone","D000978","Antiparkinson Agents"
"876","entacapone","D004791","Enzyme Inhibitors"
"877","Zidovudine","D000963","Antimetabolites"
"878","Zidovudine","D018894","Reverse Transcriptase Inhibitors"
"879","Zidovudine","D019380","Anti-HIV Agents"
"880","darifenacin","D018727","Muscarinic Antagonists"
"881","darifenacin","D064804","Urological Agents"
"882","Oxycodone","D000701","Analgesics, Opioid"
"883","Oxycodone","D009294","Narcotics"
"884","Phenindione","D000925","Anticoagulants"
"885","Flutamide","D000726","Androgen Antagonists"
"886","Flutamide","D018931","Antineoplastic Agents, Hormonal"
"887","Tolmetin","D000894","Anti-Inflammatory Agents, Non-Steroidal"
"888","Tolmetin","D016861","Cyclooxygenase Inhibitors"
"889","Cimetidine","D000897","Anti-Ulcer Agents"
"890","Cimetidine","D004791","Enzyme Inhibitors"
"891","Cimetidine","D006635","Histamine H2 Antagonists"
"892","Haloperidol","D000932","Antiemetics"
"893","Haloperidol","D014150","Antipsychotic Agents"
"894","Haloperidol","D018492","Dopamine Antagonists"
"895","Haloperidol","D018726","Anti-Dyskinesia Agents"
"896","Ritonavir","D017320","HIV Protease Inhibitors"
"897","Levallorphan","D009292","Narcotic Antagonists"
"898","nitazoxanide","D000977","Antiparasitic Agents"
"899","Triflupromazine","D000932","Antiemetics"
"900","Triflupromazine","D014150","Antipsychotic Agents"
"901","Triflupromazine","D018492","Dopamine Antagonists"
"902","Acetyldigitoxin","D000889","Anti-Arrhythmia Agents"
"903","Acetyldigitoxin","D002316","Cardiotonic Agents"
"904","Acetyldigitoxin","D004791","Enzyme Inhibitors"
"905","Vancomycin","D000900","Anti-Bacterial Agents"
"906","Dextromethorphan","D000996","Antitussive Agents"
"907","Dextromethorphan","D018691","Excitatory Amino Acid Antagonists"
"908","Cisplatin","D000970","Antineoplastic Agents"
"909","Cisplatin","D011838","Radiation-Sensitizing Agents"
"910","bentoquatam","D003879","Dermatologic Agents"
"911","Albendazole","D000871","Anthelmintics"
"912","Albendazole","D000923","Anticestodal Agents"
"913","Albendazole","D000981","Antiprotozoal Agents"
"914","Albendazole","D050257","Tubulin Modulators"
"915","trandolapril","D000806","Angiotensin-Converting Enzyme Inhibitors"
"916","trandolapril","D000959","Antihypertensive Agents"
"917","Caspofungin","D000935","Antifungal Agents"
"918","Carteolol","D000319","Adrenergic beta-Antagonists"
"919","Carteolol","D000889","Anti-Arrhythmia Agents"
"920","Carteolol","D000959","Antihypertensive Agents"
"921","Carteolol","D013565","Sympatholytics"
"922","alitretinoin","D000970","Antineoplastic Agents"
"923","Metolazone","D000959","Antihypertensive Agents"
"924","Metolazone","D004232","Diuretics"
"925","Metolazone","D049993","Sodium Chloride Symporter Inhibitors"
"926","Tolnaftate","D000935","Antifungal Agents"
"927","oxaliplatin","D000970","Antineoplastic Agents"
"928","lercanidipine","D000959","Antihypertensive Agents"
"929","lercanidipine","D002121","Calcium Channel Blockers"
"930","Foscarnet","D000998","Antiviral Agents"
"931","Foscarnet","D018894","Reverse Transcriptase Inhibitors"
"932","erlotinib","D047428","Protein Kinase Inhibitors"
"933","Cyclophosphamide","D007166","Immunosuppressive Agents"
"934","Cyclophosphamide","D018501","Antirheumatic Agents"
"935","Cyclophosphamide","D018906","Antineoplastic Agents, Alkylating"
"936","Cyclophosphamide","D019653","Myeloablative Agonists"
"937","cefdinir","D000900","Anti-Bacterial Agents"
"938","Ciprofloxacin","D000900","Anti-Bacterial Agents"
"939","Ciprofloxacin","D059005","Topoisomerase II Inhibitors"
"940","gadoversetamide","D003287","Contrast Media"
"941","Toremifene","D018931","Antineoplastic Agents, Hormonal"
"942","Toremifene","D020845","Selective Estrogen Receptor Modulators"
"943","Toremifene","D050071","Bone Density Conservation Agents"
"944","Nortriptyline","D000929","Antidepressive Agents, Tricyclic"
"945","Nortriptyline","D018759","Adrenergic Uptake Inhibitors"
"946","Vincristine","D000972","Antineoplastic Agents, Phytogenic"
"947","Vincristine","D050257","Tubulin Modulators"
"948","benazepril","D000806","Angiotensin-Converting Enzyme Inhibitors"
"949","benazepril","D000959","Antihypertensive Agents"
"950","Amoxapine","D014179","Neurotransmitter Uptake Inhibitors"
"951","Amoxapine","D017367","Serotonin Uptake Inhibitors"
"952","Amoxapine","D018492","Dopamine Antagonists"
"953","Amoxapine","D018687","Antidepressive Agents, Second-Generation"
"954","Amoxapine","D018759","Adrenergic Uptake Inhibitors"
"955","Fluorouracil","D000963","Antimetabolites"
"956","Fluorouracil","D000964","Antimetabolites, Antineoplastic"
"957","Fluorouracil","D007166","Immunosuppressive Agents"
"958","Pyridostigmine","D002800","Cholinesterase Inhibitors"
"959","Desoximetasone","D000893","Anti-Inflammatory Agents"
"960","Desoximetasone","D005938","Glucocorticoids"
"961","zafirlukast","D018927","Anti-Asthmatic Agents"
"962","zafirlukast","D020024","Leukotriene Antagonists"
"963","Propylthiouracil","D000963","Antimetabolites"
"964","Propylthiouracil","D013956","Antithyroid Agents"
"965","Pentostatin","D000970","Antineoplastic Agents"
"966","Pentostatin","D058892","Adenosine Deaminase Inhibitors"
"967","Methoxsalen","D017319","Photosensitizing Agents"
"968","Piroxicam","D000894","Anti-Inflammatory Agents, Non-Steroidal"
"969","Piroxicam","D016861","Cyclooxygenase Inhibitors"
"970","lamotrigine","D000927","Anticonvulsants"
"971","lamotrigine","D002121","Calcium Channel Blockers"
"972","lamotrigine","D018691","Excitatory Amino Acid Antagonists"
"973","lamotrigine","D061567","Voltage-Gated Sodium Channel Blockers"
"974","Perflutren","D003287","Contrast Media"
"975","Hydroxyzine","D000982","Antipruritics"
"976","Hydroxyzine","D006634","Histamine H1 Antagonists"
"977","Zanamivir","D000998","Antiviral Agents"
"978","Zanamivir","D004791","Enzyme Inhibitors"
"979","bosentan","D000959","Antihypertensive Agents"
"980","tigecycline","D000900","Anti-Bacterial Agents"
"981","Doxapram","D000697","Central Nervous System Stimulants"
"982","Doxapram","D019141","Respiratory System Agents"
"983","Methotrexate","D000020","Abortifacient Agents, Nonsteroidal"
"984","Methotrexate","D000964","Antimetabolites, Antineoplastic"
"985","Methotrexate","D003879","Dermatologic Agents"
"986","Methotrexate","D004791","Enzyme Inhibitors"
"987","Methotrexate","D005493","Folic Acid Antagonists"
"988","Methotrexate","D007166","Immunosuppressive Agents"
"989","Methotrexate","D018501","Antirheumatic Agents"
"990","Methotrexate","D019384","Nucleic Acid Synthesis Inhibitors"
"991","Carbamazepine","D000927","Anticonvulsants"
"992","Carbamazepine","D018692","Antimanic Agents"
"993","Carbamazepine","D018712","Analgesics, Non-Narcotic"
"994","Cisatracurium","D009466","Neuromuscular Blocking Agents"
"995","Cisatracurium","M03AC","Other quaternary ammonium compounds"
"996","Cisatracurium","N0000000999","Drug Hypersensitivity"
"997","Cisatracurium","N0000002059","Muscle Hypotonia"
"998","Cisatracurium","N0000003064","Unconsciousness"
"999","Cisatracurium","N0000175720","Nondepolarizing Neuromuscular Blocker"
"1000","Cisatracurium","N0000175720","Nondepolarizing Neuromuscular Blocker"
"1001","Cisatracurium","N0000011420","cisatracurium"
"1002","Cisatracurium","N0000175718","Cholinergic Neuromuscular Nicotinic Antagonists"
"1003","Cisatracurium","N0000175703","Competitive Cholinergic Nicotinic Antagonists"
"1004","Cisatracurium","N0000008953","Decreased Striated Muscle Contraction"
"1005","Cisatracurium","N0000175732","Neuromuscular Nondepolarizing Blockade"
"1006","Cisatracurium","N0000175732","Neuromuscular Nondepolarizing Blockade"
"1007","Succimer","D000931","Antidotes"
"1008","Succimer","D002614","Chelating Agents"
"1009","Cephalexin","D000900","Anti-Bacterial Agents"
"1010","Cinnarizine","D002121","Calcium Channel Blockers"
"1011","Cinnarizine","D006634","Histamine H1 Antagonists"
"1012","fondaparinux","D000925","Anticoagulants"
"1013","fondaparinux","B01AX","Other antithrombotic agents"
"1014","fondaparinux","N0000000999","Drug Hypersensitivity"
"1015","fondaparinux","N0000001097","Endocarditis, Bacterial"
"1016","fondaparinux","N0000001485","Hemorrhagic Disorders"
"1017","fondaparinux","N0000003529","Kidney Failure"
"1018","fondaparinux","N0000002467","Postoperative Complications"
"1019","fondaparinux","N0000002932","Thrombocytopenia"
"1020","fondaparinux","N0000002934","Thromboembolism"
"1021","fondaparinux","N0000004074","Venous Thrombosis"
"1022","fondaparinux","N0000175637","Factor Xa Inhibitor"
"1023","fondaparinux","N0000175637","Factor Xa Inhibitor"
"1024","fondaparinux","N0000010118","fondaparinux"
"1025","fondaparinux","N0000000107","Antithrombins"
"1026","fondaparinux","N0000000231","Enzyme Activators"
"1027","fondaparinux","N0000175635","Factor Xa Inhibitors"
"1028","fondaparinux","N0000000169","Serine Proteinase Inhibitors"
"1029","fondaparinux","N0000175635","Factor Xa Inhibitors"
"1030","fondaparinux","N0000008556","Decreased Coagulation Factor Activity"
"1031","Vinblastine","D000972","Antineoplastic Agents, Phytogenic"
"1032","Vinblastine","D050257","Tubulin Modulators"
"1033","Propranolol","D000319","Adrenergic beta-Antagonists"
"1034","Propranolol","D000889","Anti-Arrhythmia Agents"
"1035","Propranolol","D000959","Antihypertensive Agents"
"1036","Propranolol","D014665","Vasodilator Agents"
"1037","Atropine","D000759","Adjuvants, Anesthesia"
"1038","Atropine","D000889","Anti-Arrhythmia Agents"
"1039","Atropine","D001993","Bronchodilator Agents"
"1040","Atropine","D009184","Mydriatics"
"1041","Atropine","D010276","Parasympatholytics"
"1042","Atropine","D018727","Muscarinic Antagonists"
"1043","Fenoprofen","D000894","Anti-Inflammatory Agents, Non-Steroidal"
"1044","Fenoprofen","D016861","Cyclooxygenase Inhibitors"
"1045","Clonidine","D000700","Analgesics"
"1046","Clonidine","D000959","Antihypertensive Agents"
"1047","Clonidine","D013565","Sympatholytics"
"1048","Clonidine","D058647","Adrenergic alpha-2 Receptor Agonists"
"1049","Sulfamethizole","D000890","Anti-Infective Agents"
"1050","Carbenicillin","D000900","Anti-Bacterial Agents"
"1051","Mazindol","D000697","Central Nervous System Stimulants"
"1052","Mazindol","D018759","Adrenergic Uptake Inhibitors"
"1053","Mazindol","D018765","Dopamine Uptake Inhibitors"
"1054","Lactulose","D005765","Gastrointestinal Agents"
"1055","Enalapril","D000806","Angiotensin-Converting Enzyme Inhibitors"
"1056","Enalapril","D000959","Antihypertensive Agents"
"1057","Nizatidine","D000897","Anti-Ulcer Agents"
"1058","Nizatidine","D006635","Histamine H2 Antagonists"
"1059","Diclofenac","D000894","Anti-Inflammatory Agents, Non-Steroidal"
"1060","Diclofenac","D016861","Cyclooxygenase Inhibitors"
"1061","fluticasone","D000893","Anti-Inflammatory Agents"
"1062","fluticasone","D001993","Bronchodilator Agents"
"1063","fluticasone","D003879","Dermatologic Agents"
"1064","fluticasone","D018926","Anti-Allergic Agents"
"1065","fluticasone","D07AC","Corticosteroids, potent (group III)"
"1066","fluticasone","R01AD","Corticosteroids"
"1067","fluticasone","R03BA","Glucocorticoids"
"1068","fluticasone","N0000000498","Asthma"
"1069","fluticasone","N0000000999","Drug Hypersensitivity"
"1070","fluticasone","N0000002110","Nasal Polyps"
"1071","fluticasone","N0000002635","Rhinitis, Allergic, Perennial"
"1072","fluticasone","N0000002764","Skin Diseases, Infectious"
"1073","fluticasone","N0000002821","Status Asthmaticus"
"1074","fluticasone","N0000175576","Corticosteroid"
"1075","fluticasone","N0000175576","Corticosteroid"
"1076","fluticasone","N0000005771","fluticasone"
"1077","fluticasone","N0000175450","Corticosteroid Hormone Receptor Agonists"
"1078","fluticasone","N0000000159","Glucocorticoid Receptor Agonists"
"1079","fluticasone","N0000175450","Corticosteroid Hormone Receptor Agonists"
"1080","fluticasone","N0000010253","Decreased Capillary Permeability"
"1081","fluticasone","N0000010248","Decreased Fibroblast Migration"
"1082","fluticasone","N0000008645","Decreased Glucocorticoid Secretion"
"1083","fluticasone","N0000008700","Decreased Lysosomal Function"
"1084","fluticasone","N0000010246","Decreased Polymorphonuclear Leukocyte Migration"
"1085","fluticasone","N0000008841","Decreased Protein Synthesis"
"1086","Lisuride","D000978","Antiparkinson Agents"
"1087","Lisuride","D017366","Serotonin Receptor Agonists"
"1088","Lisuride","D018491","Dopamine Agonists"
"1089","Doxazosin","D000959","Antihypertensive Agents"
"1090","Doxazosin","D058668","Adrenergic alpha-1 Receptor Antagonists"
"1091","fluocinolone","N0000000943","Dermatitis, Atopic"
"1092","fluocinolone","N0000001190","Facial Dermatoses"
"1093","fluocinolone","N0000001275","Foot Dermatoses"
"1094","fluocinolone","N0000001410","Hand Dermatoses"
"1095","fluocinolone","N0000001610","Hypersensitivity"
"1096","fluocinolone","N0000001687","Inflammation"
"1097","fluocinolone","N0000001794","Leg Dermatoses"
"1098","fluocinolone","N0000002526","Psoriasis"
"1099","fluocinolone","N0000171579","fluocinolone"
"1100","fluocinolone","N0000000159","Glucocorticoid Receptor Agonists"
"1101","fluocinolone","N0000000134","Lipoxygenase Inhibitors"
"1102","fluocinolone","N0000008663","Decreased Immunologically Active Molecule Activity"
"1103","fluocinolone","N0000008841","Decreased Protein Synthesis"
"1104","piperazine","D000969","Antinematodal Agents"
"1105","Ethosuximide","D000927","Anticonvulsants"
"1106","Amiloride","D004232","Diuretics"
"1107","Amiloride","D062646","Acid Sensing Ion Channel Blockers"
"1108","Amiloride","D062686","Epithelial Sodium Channel Blockers"
"1109","Oxytetracycline","D000900","Anti-Bacterial Agents"
"1110","halobetasol","D014662","Vasoconstrictor Agents"
"1111","halobetasol","D07AC","Corticosteroids, potent (group III)"
"1112","halobetasol","N0000001190","Facial Dermatoses"
"1113","halobetasol","N0000001275","Foot Dermatoses"
"1114","halobetasol","N0000001410","Hand Dermatoses"
"1115","halobetasol","N0000001610","Hypersensitivity"
"1116","halobetasol","N0000001687","Inflammation"
"1117","halobetasol","N0000001794","Leg Dermatoses"
"1118","halobetasol","N0000002512","Pruritus"
"1119","halobetasol","N0000002682","Scalp Dermatoses"
"1120","halobetasol","N0000175576","Corticosteroid"
"1121","halobetasol","N0000175576","Corticosteroid"
"1122","halobetasol","N0000004872","halobetasol"
"1123","halobetasol","N0000175450","Corticosteroid Hormone Receptor Agonists"
"1124","halobetasol","N0000000159","Glucocorticoid Receptor Agonists"
"1125","halobetasol","N0000000134","Lipoxygenase Inhibitors"
"1126","halobetasol","N0000175450","Corticosteroid Hormone Receptor Agonists"
"1127","halobetasol","N0000008663","Decreased Immunologically Active Molecule Activity"
"1128","halobetasol","N0000008841","Decreased Protein Synthesis"
"1129","gadoteridol","D003287","Contrast Media"
"1130","Labetalol","D000319","Adrenergic beta-Antagonists"
"1131","Labetalol","D000959","Antihypertensive Agents"
"1132","Labetalol","D013566","Sympathomimetics"
"1133","Labetalol","D058668","Adrenergic alpha-1 Receptor Antagonists"
"1134","Thiopental","D000927","Anticonvulsants"
"1135","Thiopental","D006993","Hypnotics and Sedatives"
"1136","Thiopental","D018686","Anesthetics, Intravenous"
"1137","Thiopental","D018757","GABA Modulators"
"1138","linezolid","D000890","Anti-Infective Agents"
"1139","linezolid","D011500","Protein Synthesis Inhibitors"
"1140","Ivermectin","D000977","Antiparasitic Agents"
"1141","Medroxyprogesterone","D003280","Contraceptives, Oral, Synthetic"
"1142","Medroxyprogesterone","G03AC","Progestogens"
"1143","Medroxyprogesterone","G03DA","Pregnen (4) derivatives"
"1144","Medroxyprogesterone","L02AB","Progestogens"
"1145","Medroxyprogesterone","N0000000368","Amenorrhea"
"1146","Medroxyprogesterone","N0000000612","Breast Neoplasms"
"1147","Medroxyprogesterone","N0000000678","Carcinoma, Renal Cell"
"1148","Medroxyprogesterone","N0000000721","Cerebral Hemorrhage"
"1149","Medroxyprogesterone","N0000000999","Drug Hypersensitivity"
"1150","Medroxyprogesterone","N0000001101","Endometrial Hyperplasia"
"1151","Medroxyprogesterone","N0000003502","Endometrial Neoplasms"
"1152","Medroxyprogesterone","N0000001656","Hypoventilation"
"1153","Medroxyprogesterone","N0000001866","Liver Diseases"
"1154","Medroxyprogesterone","N0000010195","Pregnancy"
"1155","Medroxyprogesterone","N0000010195","Pregnancy"
"1156","Medroxyprogesterone","N0000002935","Thrombophlebitis"
"1157","Medroxyprogesterone","N0000003091","Uterine Hemorrhage"
"1158","Medroxyprogesterone","N0000175602","Progestin"
"1159","Medroxyprogesterone","N0000175602","Progestin"
"1160","Medroxyprogesterone","N0000007789","Medroxyprogesterone"
"1161","Medroxyprogesterone","N0000011301","Progesterone Congeners"
"1162","Medroxyprogesterone","N0000011301","Progesterone Congeners"
"1163","Medroxyprogesterone","N0000000185","Progestational Hormone Receptor Agonists"
"1164","Medroxyprogesterone","N0000008630","Decreased Follicle Stimulating Hormone Secretion"
"1165","Medroxyprogesterone","N0000008632","Decreased Growth Hormone Secretion"
"1166","Medroxyprogesterone","N0000009715","Inhibit Ovarian Follicular Phase"
"1167","Medroxyprogesterone","N0000009717","Inhibit Ovulation"
"1168","Medroxyprogesterone","N0000009857","Stimulate Breast Glandular Development"
"1169","Medroxyprogesterone","N0000000043","Hepatic Excretion"
"1170","Medroxyprogesterone","N0000000026","Hepatic Metabolism"
"1171","Medroxyprogesterone","N0000000042","Renal Excretion"
"1172","Cisapride","D000897","Anti-Ulcer Agents"
"1173","Cisapride","D005765","Gastrointestinal Agents"
"1174","Cisapride","D017366","Serotonin Receptor Agonists"
"1175","Sulindac","D000894","Anti-Inflammatory Agents, Non-Steroidal"
"1176","Sulindac","D000970","Antineoplastic Agents"
"1177","Sulindac","D016861","Cyclooxygenase Inhibitors"
"1178","cyclothiazide","D000959","Antihypertensive Agents"
"1179","cyclothiazide","D004232","Diuretics"
"1180","Nafcillin","D000900","Anti-Bacterial Agents"
"1181","Chloroquine","D000563","Amebicides"
"1182","Chloroquine","D000962","Antimalarials"
"1183","Chloroquine","D018501","Antirheumatic Agents"
"1184","Ethionamide","D000995","Antitubercular Agents"
"1185","Ethionamide","D054872","Fatty Acid Synthesis Inhibitors"
"1186","Metaraminol","D013566","Sympathomimetics"
"1187","Metaraminol","D014662","Vasoconstrictor Agents"
"1188","Metaraminol","D058646","Adrenergic alpha-1 Receptor Agonists"
"1189","Butorphanol","D000701","Analgesics, Opioid"
"1190","Butorphanol","D000996","Antitussive Agents"
"1191","Butorphanol","D009292","Narcotic Antagonists"
"1192","Butorphanol","D009294","Narcotics"
"1193","Bisoprolol","D000959","Antihypertensive Agents"
"1194","Bisoprolol","D013565","Sympatholytics"
"1195","Bisoprolol","D058671","Adrenergic beta-1 Receptor Antagonists"
"1196","Amodiaquine","D000962","Antimalarials"
"1197","Furazolidone","D000891","Anti-Infective Agents, Local"
"1198","Furazolidone","D000892","Anti-Infective Agents, Urinary"
"1199","Furazolidone","D000994","Antitrichomonal Agents"
"1200","Furazolidone","D008996","Monoamine Oxidase Inhibitors"
"1201","Rifabutin","D000900","Anti-Bacterial Agents"
"1202","Rifabutin","D000904","Antibiotics, Antitubercular"
"1203","Demeclocycline","D000900","Anti-Bacterial Agents"
"1204","imatinib","D000970","Antineoplastic Agents"
"1205","imatinib","D047428","Protein Kinase Inhibitors"
"1206","Triamcinolone","D000893","Anti-Inflammatory Agents"
"1207","Triamcinolone","D005938","Glucocorticoids"
"1208","Oxandrolone","D000728","Androgens"
"1209","Oxandrolone","D045930","Anabolic Agents"
"1210","Nicardipine","D000959","Antihypertensive Agents"
"1211","Nicardipine","D002121","Calcium Channel Blockers"
"1212","Nicardipine","D014665","Vasodilator Agents"
"1213","Fluphenazine","D014150","Antipsychotic Agents"
"1214","Fluphenazine","D018492","Dopamine Antagonists"
"1215","Testosterone","D000728","Androgens"
"1216","efavirenz","D018894","Reverse Transcriptase Inhibitors"
"1217","Bacitracin","D000891","Anti-Infective Agents, Local"
"1218","Bacitracin","D000900","Anti-Bacterial Agents"
"1219","Niacin","D000960","Hypolipidemic Agents"
"1220","Niacin","D014665","Vasodilator Agents"
"1221","Niacin","D014803","Vitamin B Complex"
"1222","clorazepate","D000927","Anticonvulsants"
"1223","clorazepate","D014151","Anti-Anxiety Agents"
"1224","clorazepate","D018757","GABA Modulators"
"1225","Guanabenz","D000959","Antihypertensive Agents"
"1226","Guanabenz","D058647","Adrenergic alpha-2 Receptor Agonists"
"1227","Alendronate","D050071","Bone Density Conservation Agents"
"1228","clofarabine","D000964","Antimetabolites, Antineoplastic"
"1229","docosanol","D000998","Antiviral Agents"
"1230","Dexmedetomidine","D006993","Hypnotics and Sedatives"
"1231","Dexmedetomidine","D018712","Analgesics, Non-Narcotic"
"1232","Dexmedetomidine","D058647","Adrenergic alpha-2 Receptor Agonists"
"1233","Sulfacetamide","D000891","Anti-Infective Agents, Local"
"1234","Sulfacetamide","D000892","Anti-Infective Agents, Urinary"
"1235","Prednisone","D000893","Anti-Inflammatory Agents"
"1236","Prednisone","D005938","Glucocorticoids"
"1237","Prednisone","D018931","Antineoplastic Agents, Hormonal"
"1238","Clofibrate","D000924","Anticholesteremic Agents"
"1239","Clofibrate","D000960","Hypolipidemic Agents"
"1240","Astemizole","D018926","Anti-Allergic Agents"
"1241","Astemizole","D039563","Histamine H1 Antagonists, Non-Sedating"
"1242","butoconazole","D000935","Antifungal Agents"
"1243","Adenosine","D000700","Analgesics"
"1244","Adenosine","D000889","Anti-Arrhythmia Agents"
"1245","Adenosine","D014665","Vasodilator Agents"
"1246","Simvastatin","D000924","Anticholesteremic Agents"
"1247","Simvastatin","D000960","Hypolipidemic Agents"
"1248","Simvastatin","D019161","Hydroxymethylglutaryl-CoA Reductase Inhibitors"
"1249","pemetrexed","D000964","Antimetabolites, Antineoplastic"
"1250","pemetrexed","D000970","Antineoplastic Agents"
"1251","pemetrexed","D004791","Enzyme Inhibitors"
"1252","pemetrexed","D005493","Folic Acid Antagonists"
"1253","Mebendazole","D000969","Antinematodal Agents"
"1254","Mebendazole","D050257","Tubulin Modulators"
"1255","dyclonine","D000779","Anesthetics, Local"
"1256","Nystatin","D000900","Anti-Bacterial Agents"
"1257","Nystatin","D000935","Antifungal Agents"
"1258","Nystatin","D007476","Ionophores"
"1259","Mitotane","D018931","Antineoplastic Agents, Hormonal"
"1260","Stavudine","D000963","Antimetabolites"
"1261","Stavudine","D018894","Reverse Transcriptase Inhibitors"
"1262","Stavudine","D019380","Anti-HIV Agents"
"1263","Leucovorin","D014803","Vitamin B Complex"
"1264","Dyphylline","D001993","Bronchodilator Agents"
"1265","Dyphylline","D010726","Phosphodiesterase Inhibitors"
"1266","Dyphylline","D014665","Vasodilator Agents"
"1267","Pentazocine","D000701","Analgesics, Opioid"
"1268","Pentazocine","D000759","Adjuvants, Anesthesia"
"1269","Pentazocine","D009292","Narcotic Antagonists"
"1270","Pentazocine","D009294","Narcotics"
"1271","Magnesium","N0000000999","Drug Hypersensitivity"
"1272","Magnesium","N0000001430","Heart Block"
"1273","Magnesium","N0000001499","Hepatitis"
"1274","Magnesium","N0000003529","Kidney Failure"
"1275","Magnesium","N0000001921","Magnesium Deficiency"
"1276","Magnesium","N0000001921","Magnesium Deficiency"
"1277","Magnesium","N0000006335","Magnesium"
"1278","Magnesium","N0000000226","Acid-Base Activity"
"1279","Magnesium","N0000000220","Electrolyte Activity"
"1280","Magnesium","N0000000163","Enzyme Interactions"
"1281","Magnesium","N0000008337","Cellular Activity Alteration"
"1282","latanoprost","D000959","Antihypertensive Agents"
"1283","Estrone","D004967","Estrogens"
"1284","Trazodone","D014151","Anti-Anxiety Agents"
"1285","Trazodone","D017367","Serotonin Uptake Inhibitors"
"1286","Trazodone","D018687","Antidepressive Agents, Second-Generation"
"1287","Mecamylamine","D000959","Antihypertensive Agents"
"1288","Mecamylamine","D005730","Ganglionic Blockers"
"1289","Mecamylamine","D018733","Nicotinic Antagonists"
"1290","sevelamer","D002614","Chelating Agents"
"1291","acamprosate","D000427","Alcohol Deterrents"
"1292","metaxalone","D009465","Neuromuscular Agents"
"1293","Verapamil","D000889","Anti-Arrhythmia Agents"
"1294","Verapamil","D002121","Calcium Channel Blockers"
"1295","Verapamil","D014665","Vasodilator Agents"
"1296","trimethobenzamide","D000932","Antiemetics"
"1297","Flumethasone","D000893","Anti-Inflammatory Agents"
"1298","Flumethasone","D005938","Glucocorticoids"
"1299","Flumethasone","D07AB","Corticosteroids, moderately potent (group II)"
"1300","Flumethasone","D07XB","Corticosteroids, moderately potent, other combinations"
"1301","nilutamide","D000726","Androgen Antagonists"
"1302","nilutamide","D000970","Antineoplastic Agents"
"1303","Nafarelin","D005300","Fertility Agents, Female"
"1304","Histamine","D017442","Histamine Agonists"
"1305","Histamine","N0000006292","Histamine"
"1306","Epinephrine","D000316","Adrenergic alpha-Agonists"
"1307","Epinephrine","D000318","Adrenergic beta-Agonists"
"1308","Epinephrine","D001993","Bronchodilator Agents"
"1309","Epinephrine","D009184","Mydriatics"
"1310","Epinephrine","D013566","Sympathomimetics"
"1311","Epinephrine","D014662","Vasoconstrictor Agents"
"1312","Sumatriptan","D014662","Vasoconstrictor Agents"
"1313","Sumatriptan","D058825","Serotonin 5-HT1 Receptor Agonists"
"1314","Pirenzepine","D000897","Anti-Ulcer Agents"
"1315","Pirenzepine","D018727","Muscarinic Antagonists"
"1316","Cefixime","D000900","Anti-Bacterial Agents"
